Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,SOS,NonConfSOS,Q1,Q2,Q3,Q4
Houston,American,1,1,91,133,33-4,19-2,14-2,11-0,,,8-3,8-0,7-1,10-0
Alabama(AQ),SEC,2,2,7,80,31-6,19-2,12-4,9-3,,,13-6,7-0,7-0,4-0
UConn,Big East,3,8,21,95,31-8,14-8,17-0,6-5,,,12-7,8-0,5-1,6-0
UCLA,Pac-12,4,3,30,100,31-6,20-3,11-3,9-2,,,7-6,9-0,8-0,7-0
Tennessee,SEC,5,4,30,100,25-11,12-8,13-3,4-6,,,7-8,5-3,7-0,6-0
Purdue(AQ),Big Ten,6,5,28,98,29-6,18-5,11-1,8-3,,,12-3,7-2,5-0,5-1
Texas(AQ),Big 12,7,7,6,78,29-9,15-6,14-3,4-6,,,16-9,4-0,2-0,7-0
Gonzaga(AQ),WCC,8,6,42,105,30-6,16-2,14-4,7-2,,,8-5,5-0,9-1,8-0
Kansas,Big 12,9,9,1,64,28-8,15-6,13-2,7-4,,,16-8,6-0,2-0,4-0
Arizona(AQ),Pac-12,10,10,53,109,28-7,17-6,11-1,6-4,,,8-2,7-4,6-1,7-0
Saint Mary's (CA),WCC,11,11,49,107,26-8,15-3,11-5,6-2,,,3-4,7-2,11-2,5-0
Marquette(AQ),Big East,12,12,45,106,29-7,20-3,9-4,9-4,,,9-5,6-2,8-0,6-0
Fla. Atlantic(AQ),CUSA,13,13,103,143,33-4,21-2,12-2,11-3,,,7-2,2-2,11-0,13-0
Creighton,Big East,14,17,13,87,24-13,15-7,9-6,5-6,,,6-10,8-2,6-1,4-0
San Diego St.(AQ),Mountain West,15,14,10,82,31-7,18-3,13-4,8-2,,,8-6,8-1,13-0,2-0
Duke(AQ),ACC,16,16,37,104,27-9,17-6,10-3,4-6,,,7-8,7-1,3-0,10-0
Baylor,Big 12,17,15,5,77,23-11,11-8,12-3,5-5,,,11-11,4-0,1-0,7-0
Xavier,Big East,18,22,21,95,27-10,17-6,10-4,7-4,,,10-6,5-3,6-1,6-0
Kansas St.,Big 12,19,24,15,90,26-10,11-8,15-2,4-7,,,11-9,4-1,4-0,7-0
Arkansas,SEC,20,21,8,81,22-14,9-11,13-3,2-8,,,6-11,3-2,10-1,3-0
Miami (FL),ACC,21,35,65,116,29-8,16-6,13-2,7-4,,,9-6,7-0,6-1,7-1
Memphis(AQ),American,22,23,63,114,26-9,16-5,10-4,7-5,,,4-5,9-3,7-1,6-0
Utah St.,Mountain West,23,18,30,100,25-9,15-6,10-3,6-4,,,1-6,9-1,14-0,1-2
West Virginia,Big 12,24,25,4,72,19-15,8-12,11-3,3-8,,,6-14,6-1,1-0,6-0
Iowa St.,Big 12,25,20,11,84,19-14,10-10,9-4,3-8,,,10-11,2-3,1-0,6-0
Kentucky,SEC,26,26,37,104,22-12,12-7,10-5,6-4,,,6-8,7-1,3-2,6-1
TCU,Big 12,27,28,35,102,22-13,10-10,12-3,3-7,,,8-12,6-0,0-0,8-1
Texas A&M,SEC,28,19,57,112,25-10,17-4,8-6,7-4,,,7-7,5-1,6-0,7-2
Virginia,ACC,29,27,74,123,25-8,17-6,8-2,6-5,,,5-6,7-1,4-1,9-0
North Texas,CUSA,30,38,100,140,29-7,17-5,12-2,10-3,,,3-4,5-1,11-1,10-1
Indiana,Big Ten,31,30,18,91,23-12,13-9,10-3,5-7,,,6-10,8-2,3-0,6-0
Maryland,Big Ten,32,31,42,105,22-13,12-10,10-3,2-9,,,3-12,8-1,2-0,9-0
Michigan St.,Big Ten,33,33,2,69,21-13,11-9,10-4,5-7,,,6-11,9-1,2-1,4-0
Boise St.,Mountain West,34,29,55,110,23-10,14-6,9-4,6-6,,,3-6,9-3,6-0,5-1
Auburn,SEC,35,32,15,90,21-13,10-9,11-4,4-8,,,4-11,6-1,8-1,3-0
Illinois,Big Ten,36,34,52,108,20-13,11-10,9-3,3-7,,,3-11,7-2,3-0,7-0
Northwestern,Big Ten,37,41,21,95,22-12,12-9,10-3,7-4,,,8-7,5-5,2-0,7-0
Iowa,Big Ten,38,39,21,95,19-14,11-10,8-4,4-7,,,4-10,9-2,1-1,5-1
UAB,CUSA,39,57,106,147,28-10,16-7,12-3,7-5,,,2-6,3-2,11-1,12-1
Rutgers,Big Ten,40,40,45,106,19-15,11-11,8-4,4-7,,,4-7,6-4,2-4,7-0
Penn St.,Big Ten,41,48,15,90,23-14,13-11,10-3,4-7,,,7-9,6-5,4-0,6-0
Oklahoma St.,Big 12,42,43,8,81,20-16,9-11,11-5,5-7,,,6-13,5-2,4-1,5-0
NC State,ACC,43,45,76,126,23-11,13-9,10-2,4-6,,,3-7,5-4,5-0,10-0
North Carolina,ACC,44,46,34,101,20-13,12-10,8-3,4-7,,,2-11,5-2,7-0,6-0
Oregon,Pac-12,45,47,26,97,21-15,13-9,8-6,4-6,,,2-7,6-7,8-1,5-0
Liberty,ASUN,46,44,154,178,24-9,17-4,7-5,6-7,,,0-4,2-2,7-3,15-0
Missouri,SEC,47,42,60,113,25-10,12-8,13-2,5-5,,,7-9,4-1,6-0,8-0
Nevada,Mountain West,48,37,42,105,21-11,12-7,9-4,6-7,,,3-5,4-4,11-2,3-0
Ohio St.,Big Ten,49,52,14,89,16-19,8-16,8-3,1-10,,,3-13,7-5,0-0,6-1
Oral Roberts(AQ),Summit League,50,36,259,213,26-5,21-0,5-5,11-4,,,0-5,1-0,5-0,20-0
Providence,Big East,51,56,76,126,21-12,13-8,8-4,6-6,,,5-9,2-3,5-0,9-0
Col. of Charleston(AQ),CAA,52,51,259,213,30-4,19-2,11-2,11-2,,,0-2,3-0,10-2,17-0
Mississippi St.,SEC,53,49,70,121,21-13,9-11,12-2,4-6,,,4-8,4-4,5-1,8-0
VCU(AQ),Atlantic 10,54,53,118,153,27-8,18-3,9-5,8-3,,,0-2,5-2,12-2,10-2
Southern California,Pac-12,55,50,57,112,22-11,14-7,8-4,5-5,,,2-6,6-3,8-1,6-1
Pittsburgh,ACC,56,67,88,132,24-12,15-7,9-5,7-5,,,6-6,3-4,5-1,10-1
Michigan,Big Ten,57,61,18,91,18-16,11-10,7-6,3-8,,,2-12,7-3,5-0,4-1
Utah Valley,WAC,58,74,112,149,25-9,16-4,9-5,12-5,,,2-3,5-2,9-3,9-1
