Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,SOS,NonConfSOS,Q1,Q2,Q3,Q4
Drake(AQ),MVC,59,55,154,178,26-8,18-5,8-3,6-6,,,0-1,3-4,11-3,12-0
Iona(AQ),MAAC,60,58,239,207,27-8,20-3,7-5,8-4,,,0-2,1-2,6-2,20-2
Arizona St.,Pac-12,61,66,56,111,23-13,13-10,10-3,7-6,,,4-6,5-5,6-1,8-1
Texas Tech,Big 12,62,63,37,104,16-16,5-14,11-2,3-7,,,5-14,0-2,2-0,9-0
Cincinnati,American,63,70,91,133,22-13,12-8,10-5,5-7,,,1-9,4-2,7-2,10-0
New Mexico,Mountain West,64,54,67,118,21-12,9-11,12-1,5-6,,,2-5,4-3,10-3,5-1
Yale,Ivy League,65,64,160,179,19-9,11-5,8-4,8-8,,,0-1,2-5,9-1,8-2
UCF,American,66,71,84,129,19-15,9-11,10-4,5-7,,,3-8,3-3,3-4,10-0
Clemson,ACC,67,60,114,150,23-11,15-7,8-4,5-6,,,5-5,3-1,6-2,9-3
Kent St.(AQ),MAC,68,59,183,188,26-7,18-3,8-4,9-6,,,0-4,2-1,10-1,14-1
Sam Houston,WAC,69,65,124,159,22-8,15-5,7-3,11-6,,,1-4,2-1,10-2,9-1
Oklahoma,Big 12,70,68,3,71,15-17,5-14,10-3,2-8,,,6-14,3-3,3-0,3-0
Villanova,Big East,71,75,30,100,17-17,11-11,6-6,5-9,,,3-12,3-3,7-2,4-0
Wisconsin,Big Ten,72,80,12,86,20-15,9-12,11-3,6-6,,,5-9,8-5,2-1,5-0
Florida,SEC,73,62,28,98,16-17,9-10,7-7,4-7,,,2-12,1-4,8-1,5-0
Seton Hall,Big East,74,77,37,104,16-16,10-11,6-5,6-7,,,4-9,2-5,5-1,5-1
Virginia Tech,ACC,75,76,76,126,19-15,9-13,10-2,2-10,,,4-8,2-4,5-2,8-1
Colorado,Pac-12,76,69,45,106,18-17,9-13,9-4,2-9,,,3-7,4-5,7-3,4-2
Dayton,Atlantic 10,77,78,132,168,22-12,14-7,8-5,5-6,,,1-2,1-6,9-3,11-1
Bradley,MVC,78,72,151,177,24-10,18-5,6-5,8-6,,,0-6,4-2,6-2,14-0
Washington St.,Pac-12,79,73,60,113,17-17,12-10,5-7,5-8,,,1-10,6-4,3-2,7-1
Utah,Pac-12,80,79,84,129,17-15,10-11,7-4,4-7,,,1-7,2-7,5-1,9-0
Vanderbilt,SEC,81,81,20,93,22-15,13-8,9-7,5-6,,,5-11,7-1,5-2,5-1
Toledo,MAC,82,82,229,204,26-8,18-3,8-5,10-4,,,1-2,2-2,8-3,15-1
Marshall,Sun Belt,83,83,217,200,23-8,13-6,10-2,9-5,,,0-0,1-2,9-5,13-1
BYU,WCC,84,85,81,128,17-15,9-10,8-5,2-7,,,1-6,1-5,8-3,7-1
Hofstra,CAA,85,86,205,196,24-10,17-3,7-7,11-5,,,2-2,3-2,5-4,14-2
Louisiana(AQ),Sun Belt,86,89,154,178,23-8,16-5,7-3,7-7,,,0-3,1-3,10-1,12-1
Santa Clara,WCC,87,84,88,132,22-10,11-6,11-4,6-3,,,0-5,4-2,11-2,7-1
Furman(AQ),SoCon,88,88,220,201,25-8,18-3,7-5,8-3,,,1-3,2-0,8-3,14-2
Wake Forest,ACC,89,90,76,126,19-14,11-11,8-3,4-8,,,2-9,4-2,4-2,9-1
Southern Miss.,Sun Belt,90,87,169,184,22-8,14-5,8-3,8-7,,,1-1,2-4,5-3,14-0
St. John's (NY),Big East,91,98,72,122,18-15,8-14,10-1,3-8,,,1-12,1-3,8-0,8-0
Nebraska,Big Ten,92,92,21,95,16-16,9-12,7-4,4-9,,,3-10,5-5,1-0,7-1
Princeton(AQ),Ivy League,93,111,147,175,21-9,12-4,9-5,7-4,,,2-2,2-2,8-3,9-2
UNLV,Mountain West,94,91,68,120,18-13,8-12,10-1,5-5,,,2-5,3-3,8-5,5-0
James Madison,Sun Belt,95,94,191,191,19-11,13-7,6-4,8-6,,,0-2,2-2,9-3,8-4
Stanford,Pac-12,96,97,75,124,14-19,8-14,6-5,2-8,,,1-9,3-5,2-4,8-1
Saint Louis,Atlantic 10,97,99,104,145,20-12,13-7,7-5,4-7,,,1-4,2-5,9-2,8-1
Charlotte,CUSA,98,116,142,173,22-14,9-12,13-2,5-8,,,2-4,0-2,7-4,13-4
San Jose St.,Mountain West,99,95,80,127,20-14,11-9,9-5,5-8,,,2-8,4-2,7-4,7-0
Indiana St.,MVC,100,93,259,213,22-13,15-8,7-5,7-6,,,0-1,2-2,5-7,15-3
Colgate(AQ),Patriot,101,101,310,234,25-9,20-1,5-8,11-4,,,0-2,1-0,2-5,22-2
UC Irvine,Big West,102,96,169,184,21-12,16-6,5-6,9-7,,,1-2,1-3,8-6,11-1
UC Santa Barbara(AQ),Big West,103,100,220,201,25-8,18-5,7-3,10-4,,,0-1,3-0,9-6,13-1
Montana St.(AQ),Big Sky,104,103,191,191,23-10,18-3,5-7,10-5,,,0-3,2-1,6-5,15-1
Akron,MAC,105,102,179,187,20-11,14-6,6-5,5-6,,,0-2,1-6,5-3,14-0
Grand Canyon(AQ),WAC,106,104,115,151,21-12,14-7,7-5,5-5,,,1-3,2-1,8-7,10-1
Tulane,American,107,105,124,159,20-11,13-7,7-4,5-4,,,2-5,4-0,5-5,9-1
South Alabama,Sun Belt,108,106,142,173,17-16,12-10,5-6,4-10,,,0-5,2-4,5-4,10-3
Middle Tenn.,CUSA,109,117,97,139,17-14,12-10,5-4,3-11,,,1-5,4-1,5-5,7-3
Wichita St.,American,110,112,115,151,17-15,10-10,7-5,7-4,,,0-7,2-3,6-3,9-2
LMU (CA),WCC,111,107,97,139,18-12,9-8,9-4,4-7,,,2-3,3-5,4-4,9-0
Vermont(AQ),America East,112,109,213,199,22-11,17-2,5-9,9-6,,,0-4,1-3,5-3,16-1
Southern Utah,WAC,113,113,108,148,20-13,14-7,6-6,5-8,,,0-4,3-1,8-8,9-0
San Francisco,WCC,114,108,112,149,19-14,9-10,10-4,5-6,,,0-6,4-3,6-3,9-2
Colorado St.,Mountain West,115,110,60,113,14-18,7-13,7-5,4-8,,,1-9,2-4,5-4,6-1
Kennesaw St.(AQ),ASUN,116,115,175,186,23-9,18-3,5-6,10-6,,,0-5,2-0,8-2,13-2
UNC Greensboro,SoCon,117,114,208,197,18-12,14-5,4-7,8-6,,,0-2,1-2,6-5,11-3
UMass Lowell,America East,118,119,351,261,24-8,13-6,11-2,9-8,,,0-1,0-2,5-0,19-5
Belmont,MVC,119,118,175,186,20-11,14-7,6-4,7-7,,,0-1,1-4,8-5,11-1
Eastern Wash.,Big Sky,120,128,205,196,22-11,16-3,6-8,10-7,,,0-2,2-3,6-4,14-2
Syracuse,ACC,121,126,95,138,17-15,10-11,7-4,5-6,,,0-8,2-4,7-1,8-2
Southern Ill.,MVC,122,120,197,192,22-10,15-7,7-3,8-6,,,1-1,2-4,6-3,13-2
Temple,American,123,125,86,130,16-16,10-9,6-7,6-6,,,3-4,4-4,4-6,5-2
Washington,Pac-12,124,122,65,116,16-16,8-13,8-3,2-9,,,1-7,3-6,5-2,7-1
Butler,Big East,125,131,45,106,14-18,6-15,8-3,3-10,,,2-13,3-4,4-0,5-1
Cal St. Fullerton,Big West,126,121,149,176,18-13,14-7,4-6,7-8,,,0-2,2-1,8-7,8-3
Youngstown St.,Horizon,127,123,307,232,22-10,16-6,6-4,9-6,,,0-0,0-1,4-7,18-2
Cornell,Ivy League,128,132,191,191,15-11,7-8,8-3,6-8,,,0-2,2-3,2-6,11-0
Ole Miss,SEC,129,124,49,107,12-21,4-16,8-5,2-9,,,1-12,1-6,4-1,6-2
Towson,CAA,130,129,272,218,21-12,13-7,8-5,8-7,,,0-2,1-3,5-3,15-4
Hawaii,Big West,131,127,210,198,21-11,13-8,8-3,6-4,,,0-0,0-5,7-5,14-1
Fordham,Atlantic 10,132,134,229,204,25-8,13-7,12-1,6-5,,,0-2,1-1,7-4,17-1
Ohio,MAC,133,133,217,200,18-14,11-9,7-5,4-11,,,0-2,1-7,4-2,13-3
Troy,Sun Belt,134,135,169,184,17-13,12-8,5-5,7-8,,,0-2,0-5,6-5,11-1
Samford,SoCon,135,136,270,217,18-10,15-4,3-6,8-7,,,0-1,1-3,4-4,13-2
SFA,WAC,136,138,132,168,16-13,11-8,5-5,6-5,,,0-2,0-4,7-4,9-3
Duquesne,Atlantic 10,137,130,147,175,20-13,10-9,10-4,3-7,,,0-1,1-3,9-7,10-2
Penn,Ivy League,138,141,135,170,16-13,9-6,7-7,6-9,,,0-5,1-3,7-2,8-3
George Mason,Atlantic 10,139,139,136,171,20-13,12-8,8-5,4-7,,,0-2,1-2,9-6,10-3
UC Riverside,Big West,140,137,165,181,21-12,15-7,6-5,9-7,,,0-2,3-3,7-5,11-2
UNCW,CAA,141,144,243,208,22-10,14-7,8-3,8-6,,,1-4,1-3,5-2,15-1
Seattle U,WAC,142,143,129,164,18-12,11-8,7-4,7-7,,,1-2,1-3,5-6,11-1
UNC Asheville(AQ),Big South,143,140,287,224,25-8,19-2,6-6,10-6,,,1-2,0-1,4-2,20-3
Missouri St.,MVC,144,142,151,177,16-15,13-9,3-6,5-8,,,1-2,2-4,4-6,9-3
Davidson,Atlantic 10,145,145,126,160,15-16,9-11,6-5,6-6,,,0-3,1-4,7-7,7-2
Eastern Ky.,ASUN,146,165,149,176,20-14,13-7,7-7,5-10,,,0-4,2-3,7-3,11-4
Lipscomb,ASUN,147,148,239,207,17-13,12-8,5-5,7-11,,,0-2,1-2,6-2,10-7
Fresno St.,Mountain West,148,146,70,121,10-20,6-13,4-7,4-9,,,0-7,3-4,3-8,4-1
UC Davis,Big West,149,147,213,199,16-14,11-9,5-5,5-9,,,0-1,0-5,2-7,14-1
Harvard,Ivy League,150,158,186,189,12-14,5-9,7-5,7-6,,,0-2,2-4,2-3,8-5
Northern Ky.(AQ),Horizon,151,154,213,199,20-13,17-6,3-7,6-6,,,0-2,1-4,6-4,13-3
Air Force,Mountain West,152,149,119,155,14-18,5-14,9-4,4-9,,,0-6,2-5,3-3,9-4
LSU,SEC,153,151,68,120,14-19,3-17,11-2,0-9,,,1-11,1-6,3-1,9-1
Old Dominion,Sun Belt,154,153,144,174,18-12,11-8,7-4,6-5,,,0-1,2-4,7-4,9-3
DePaul,Big East,155,163,26,97,10-23,4-18,6-5,2-12,,,1-14,2-5,2-4,5-0
Ball St.,MAC,156,150,257,212,18-12,11-8,7-4,6-7,,,0-1,2-4,2-4,14-3
Georgia,SEC,157,152,95,138,16-16,6-13,10-3,1-10,,,1-8,3-3,2-5,10-0
Utah Tech,WAC,158,156,122,158,11-19,6-14,5-5,3-13,,,0-4,0-5,5-7,6-3
South Fla.,American,159,160,130,165,14-18,7-12,7-6,4-7,,,1-6,1-3,3-5,9-4
Richmond,Atlantic 10,160,159,139,172,15-18,8-12,7-6,1-11,,,0-2,1-4,5-10,9-2
Louisiana Tech,CUSA,161,170,106,147,12-18,8-14,4-4,4-11,,,0-7,1-4,1-7,10-0
South Dakota St.,Summit League,162,155,217,200,18-13,14-6,4-7,6-9,,,1-4,0-3,2-4,15-2
Stetson,ASUN,163,157,186,189,15-14,12-7,3-7,7-9,,,0-4,0-1,5-7,10-2
Longwood,Big South,164,166,326,244,18-12,12-7,6-5,8-8,,,0-1,0-1,2-5,16-5
Tarleton St.,WAC,165,162,108,148,13-17,9-10,4-7,2-12,,,0-4,1-5,6-6,6-2
Boston College,ACC,166,168,93,134,16-17,10-12,6-5,4-7,,,2-7,3-4,5-3,6-3
Long Beach St.,Big West,167,161,165,181,15-16,11-10,4-6,6-9,,,0-4,1-3,5-7,9-2
Portland,WCC,168,164,101,142,12-19,6-12,6-7,2-10,,,0-7,1-5,3-6,8-1
Western Ky.,CUSA,169,177,122,158,15-16,9-13,6-3,5-9,,,1-5,0-3,5-6,9-2
Montana,Big Sky,170,167,198,193,16-14,11-8,5-6,6-9,,,0-2,0-3,3-7,13-2
California Baptist,WAC,171,169,163,180,15-16,8-11,7-5,4-8,,,0-2,1-4,6-4,8-6
Navy,Patriot,172,173,313,236,17-13,11-8,6-5,9-7,,,0-2,1-1,2-2,14-8
Radford,Big South,173,184,263,214,19-15,13-7,6-8,7-10,,,0-3,1-1,3-5,15-6
A&M-Corpus Christi(AQ),Southland,174,175,347,257,20-11,16-4,4-7,8-7,,,0-4,0-0,1-1,19-6
Quinnipiac,MAAC,175,174,310,234,19-12,11-10,8-2,9-6,,,0-2,1-1,4-0,14-9
Brown,Ivy League,176,183,186,189,14-13,7-7,7-6,7-8,,,0-3,0-4,4-5,10-1
Georgia Tech,ACC,177,179,94,137,13-18,7-15,6-3,3-9,,,1-8,2-6,2-3,8-1
Chattanooga,SoCon,178,176,213,199,15-17,10-12,5-5,6-9,,,0-1,1-5,3-8,11-3
Bryant,America East,179,182,272,218,15-13,8-9,7-4,7-8,,,0-3,1-2,2-3,12-5
Wyoming,Mountain West,180,172,49,107,8-22,4-15,4-7,1-8,,,1-6,1-9,2-6,4-1
FGCU,ASUN,181,178,220,201,16-15,7-12,9-3,6-9,,,1-3,0-0,6-6,9-6
UTEP,CUSA,182,192,108,148,12-18,7-14,5-4,3-10,,,0-6,1-3,2-7,9-2
Norfolk St.,MEAC,183,181,330,246,18-11,11-6,7-5,6-8,,,0-4,0-0,2-3,16-4
Notre Dame,ACC,184,186,88,132,11-21,3-18,8-3,0-10,,,0-7,2-5,2-7,7-2
Cleveland St.,Horizon,185,171,281,221,20-13,16-7,4-6,7-9,,,0-1,0-4,4-6,16-2
Grambling,SWAC,186,180,357,270,22-9,17-4,5-5,9-6,,,0-3,1-1,1-0,20-5
N.C. Central,MEAC,187,185,295,227,14-12,11-5,3-7,4-10,,,0-3,0-0,2-7,12-2
Rice,CUSA,188,202,119,155,16-16,9-13,7-3,6-7,,,1-6,0-3,6-4,9-3
Drexel,CAA,189,191,298,229,16-15,11-9,5-6,3-9,,,0-1,1-4,4-5,11-5
East Carolina,American,190,188,134,169,16-17,7-13,9-4,2-9,,,0-5,3-4,2-7,11-1
New Mexico St.,WAC,191,189,97,139,6-15,2-10,4-5,1-9,,,0-2,0-5,3-6,3-2
Weber St.,Big Sky,192,187,183,188,16-15,13-7,3-8,8-8,,,1-0,0-5,4-8,11-2
Texas St.,Sun Belt,193,194,154,178,14-18,9-13,5-5,7-7,,,0-0,3-6,2-8,9-4
Buffalo,MAC,194,193,130,165,13-17,9-10,4-7,3-9,,,0-4,0-5,4-5,9-3
Gardner-Webb,Big South,195,198,277,219,13-16,10-9,3-7,6-10,,,0-1,0-1,2-8,11-6
App State,Sun Belt,196,197,163,180,13-16,9-10,4-6,6-7,,,0-0,1-5,2-8,10-3
Wright St.,Horizon,197,195,303,231,16-15,11-11,5-4,7-8,,,0-0,0-2,4-8,12-5
Pacific,WCC,198,190,128,163,14-17,8-10,6-7,7-7,,,0-2,1-5,7-6,6-4
St. Thomas (MN),Summit League,199,196,284,223,17-14,10-10,7-4,4-11,,,0-3,0-3,2-3,15-5
St. Bonaventure,Atlantic 10,200,199,160,179,14-18,8-11,6-7,2-11,,,1-0,0-3,7-9,6-6
Saint Joseph's,Atlantic 10,201,200,183,188,16-17,10-11,6-6,4-7,,,0-1,0-6,4-8,12-2
Queens (NC),ASUN,202,204,236,205,15-15,8-12,7-3,7-10,,,0-1,1-3,2-8,12-3
Massachusetts,Atlantic 10,203,205,136,171,15-16,6-13,9-3,3-8,,,0-2,3-1,5-11,7-2
Abilene Christian,WAC,204,206,121,156,9-17,5-12,4-5,4-8,,,0-4,0-3,4-9,5-1
Northwestern St.,Southland,205,203,341,253,21-11,14-6,7-5,10-7,,,1-3,0-0,2-3,18-5
Siena,MAAC,206,208,303,231,17-15,11-10,6-5,7-8,,,0-1,2-0,1-5,14-9
Ga. Southern,Sun Belt,207,207,191,191,14-16,10-10,4-6,3-11,,,0-0,0-7,4-5,10-4
Pepperdine,WCC,208,201,86,130,7-22,2-15,5-7,0-12,,,0-4,0-9,2-7,5-2
SMU,American,209,209,81,128,10-22,5-14,5-8,1-11,,,1-8,1-8,2-5,6-1
Milwaukee,Horizon,210,210,239,207,19-12,15-7,4-5,6-7,,,0-2,0-2,8-3,11-5
George Washington,Atlantic 10,211,211,173,185,15-16,10-9,5-7,5-6,,,0-0,0-4,5-8,10-4
Detroit Mercy,Horizon,212,212,229,204,13-19,10-12,3-7,5-13,,,0-2,0-4,3-8,10-5
Howard(AQ),MEAC,213,214,281,221,19-13,14-3,5-10,6-8,,,0-4,0-0,4-6,15-3
Murray St.,MVC,214,213,179,187,16-15,12-10,4-5,3-11,,,1-1,0-8,4-4,11-2
Rider,MAAC,215,217,298,229,15-14,13-8,2-6,8-6,,,1-2,0-1,0-4,14-7
FIU,CUSA,216,218,126,160,12-18,8-13,4-5,3-10,,,0-6,2-1,4-6,6-5
North Dakota St.,Summit League,217,215,210,198,14-17,13-8,1-9,5-10,,,0-5,0-3,2-2,12-7
UNI,MVC,218,216,154,178,13-18,10-12,3-6,4-7,,,0-1,0-6,3-9,10-2
Morehead St.,OVC,219,228,296,228,18-12,14-5,4-7,8-9,,,1-3,0-2,2-1,15-6
Florida St.,ACC,220,221,63,114,9-23,7-14,2-9,4-7,,,2-9,0-8,1-3,6-3
SIUE,OVC,221,219,339,252,16-14,10-10,6-4,7-8,,,0-1,1-0,2-3,13-10
Minnesota,Big Ten,222,220,36,103,9-22,3-18,6-4,1-9,,,1-10,2-10,1-2,5-0
La Salle,Atlantic 10,223,223,167,182,15-19,9-12,6-7,5-8,,,0-3,0-3,7-7,8-6
Delaware,CAA,224,225,227,203,16-16,9-11,7-5,4-10,,,0-2,1-3,5-7,10-4
Oregon St.,Pac-12,225,222,81,128,10-21,5-16,5-5,1-10,,,0-8,1-9,3-2,6-2
Sacramento St.,Big Sky,226,224,191,191,12-18,7-12,5-6,5-10,,,0-1,0-4,1-10,11-3
Mercer,SoCon,227,227,253,210,12-19,7-13,5-6,4-10,,,0-0,1-4,0-11,11-4
Wofford,SoCon,228,226,229,204,14-16,9-11,5-5,4-11,,,1-1,0-4,4-6,9-5
UMES,MEAC,229,232,284,223,14-13,10-6,4-7,7-9,,,0-3,1-1,1-5,12-4
Northern Ariz.,Big Sky,230,231,144,174,10-23,8-14,2-9,3-13,,,0-4,0-4,5-7,5-8
Campbell,Big South,231,233,272,218,14-18,11-11,3-7,4-10,,,0-1,0-0,4-9,10-8
Western Caro.,SoCon,232,229,254,211,15-16,11-9,4-7,6-9,,,0-1,0-5,3-6,12-4
Jacksonville,ASUN,233,236,179,187,10-16,6-12,4-4,6-10,,,1-2,0-2,2-7,7-5
San Diego,WCC,234,230,108,148,9-20,4-13,5-7,3-8,,,0-5,1-2,3-8,5-5
South Carolina,SEC,235,234,72,122,11-21,4-15,7-6,4-8,,,1-9,2-4,3-8,5-0
North Florida,ASUN,236,238,198,193,12-17,9-10,3-7,3-14,,,0-4,0-3,4-3,8-7
Northern Colo.,Big Sky,237,235,169,184,12-19,7-13,5-6,3-12,,,0-3,1-3,0-9,11-4
Purdue Fort Wayne,Horizon,238,237,272,218,15-15,9-12,6-3,7-8,,,0-2,1-1,2-7,12-5
UMBC,America East,239,240,326,244,17-14,8-9,9-5,5-10,,,0-1,0-4,1-4,16-5
Georgetown,Big East,240,243,53,109,7-25,2-19,5-6,1-11,,,0-12,1-7,1-4,5-2
Jacksonville St.,ASUN,241,241,200,194,10-18,6-12,4-6,3-12,,,0-3,0-4,1-5,9-6
North Ala.,ASUN,242,239,229,204,15-15,10-9,5-6,8-10,,,0-2,1-2,4-7,10-4
Southeast Mo. St.(AQ),OVC,243,242,325,243,17-17,14-8,3-9,5-11,,,0-2,0-1,2-5,15-9
Niagara,MAAC,244,246,291,226,15-15,11-11,4-4,4-10,,,0-2,0-3,3-1,12-9
Alcorn,SWAC,245,244,317,237,18-14,15-4,3-10,10-10,,,0-3,1-4,2-3,15-4
Army West Point,Patriot,246,248,343,254,15-16,11-9,4-7,7-8,,,0-0,0-3,1-3,14-10
Robert Morris,Horizon,247,247,291,226,14-17,11-11,3-6,5-10,,,0-1,0-2,3-8,11-6
Western Ill.,Summit League,248,245,302,230,13-14,9-10,4-4,5-9,,,0-2,0-1,0-6,13-5
UT Arlington,WAC,249,251,101,142,8-21,6-13,2-8,4-9,,,0-4,2-3,4-11,2-3
Winthrop,Big South,250,254,243,208,13-17,10-9,3-8,4-11,,,0-2,0-2,4-7,9-6
UT Martin,OVC,251,250,347,257,15-14,11-9,4-5,4-11,,,0-1,0-2,0-3,15-8
Idaho St.,Big Sky,252,253,237,206,9-21,8-11,1-10,4-12,,,0-0,0-6,3-6,6-9
USC Upstate,Big South,253,255,254,211,14-16,11-9,3-7,4-12,,,0-2,0-2,4-8,10-4
Portland St.,Big Sky,254,249,173,185,10-19,6-12,4-7,5-9,,,0-2,0-3,4-8,6-6
NIU,MAC,255,252,229,204,12-18,9-10,3-8,7-10,,,0-3,2-4,0-7,10-4
Boston U.,Patriot,256,259,323,241,14-17,8-11,6-6,6-11,,,0-1,0-2,0-5,14-9
Southeastern La.,Southland,257,256,330,246,15-14,12-7,3-7,7-8,,,0-1,0-3,2-4,13-6
Bellarmine,ASUN,258,258,160,179,12-18,10-10,2-8,6-12,,,0-6,0-2,3-5,9-5
