Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,SOS,NonConfSOS,Q1,Q2,Q3,Q4
Texas Tech,Big 12,22,22,68,109,18-13,9-9,9-4,3-7,50,180,3-10,4-3,3-0,8-0
Wisconsin,Big Ten,23,23,15,85,21-10,14-6,7-4,6-6,32,38,10-8,3-1,1-1,7-0
Michigan,Big Ten,24,24,15,85,19-12,10-10,9-2,4-7,48,117,6-10,5-2,2-0,6-0
Colorado,Pac-12,25,25,39,94,21-11,10-9,11-2,4-7,14,34,5-4,6-4,4-3,6-0
Marquette,Big East,26,26,12,82,18-12,8-10,10-2,3-8,5,62,5-10,6-2,2-0,5-0
Auburn,SEC,27,27,41,95,25-6,12-6,13-0,5-5,22,14,7-3,7-2,8-1,3-0
LSU,SEC,28,28,41,95,21-10,12-6,9-4,5-6,7,8,4-8,7-1,6-1,4-0
Florida,SEC,29,29,15,85,19-12,11-7,8-5,4-7,20,13,5-9,4-3,6-0,4-0
Rutgers,Big Ten,30,30,41,95,19-11,11-9,9-2,2-8,40,95,4-9,5-1,3-1,7-0
Saint Mary's (CA),WCC,31,31,91,131,25-8,13-6,13-2,6-3,29,89,3-5,5-1,8-2,9-0
Purdue,Big Ten,32,32,8,81,16-15,9-11,7-4,4-8,39,86,4-11,5-3,2-1,5-0
Stanford,Pac-12,33,33,75,115,20-12,9-10,11-2,4-6,99,226,4-7,3-3,6-2,7-0
Iowa,Big Ten,34,34,25,88,20-11,11-9,9-2,4-7,94,236,8-8,5-1,2-2,5-0
Penn St.,Big Ten,35,35,49,98,21-10,11-9,10-1,5-6,123,336,8-7,5-2,2-1,6-0
ETSU,SoCon,36,36,186,189,27-4,19-2,11-2,11-3,129,59,1-2,2-1,12-0,12-1
Providence,Big East,37,37,34,92,19-12,12-6,7-6,5-6,9,129,7-8,5-0,2-3,5-1
Richmond,Atlantic 10,38,38,101,143,24-7,14-4,10-3,9-3,86,98,3-4,3-2,8-1,10-0
Illinois,Big Ten,39,39,54,99,20-10,13-7,8-3,6-6,76,242,6-8,4-1,1-1,9-0
Utah St.,Mountain West,40,40,109,149,24-8,15-6,11-2,4-6,114,108,3-4,2-2,7-2,12-0
Wichita St.,American,41,41,79,121,23-8,11-7,12-1,5-5,66,141,2-5,7-3,6-0,8-0
Minnesota,Big Ten,42,42,6,80,15-16,9-12,6-4,2-10,62,165,4-12,2-3,3-1,6-0
Arkansas,SEC,43,43,49,98,20-12,8-11,12-1,4-8,34,12,4-6,2-6,10-0,4-0
Virginia,ACC,44,44,59,104,23-7,15-5,8-2,7-4,72,222,5-3,7-3,6-1,5-0
Southern California,Pac-12,45,45,64,107,22-9,11-7,11-2,5-6,78,194,3-7,7-1,7-1,5-0
Oklahoma,Big 12,46,46,6,80,19-12,9-9,10-3,4-8,26,67,5-9,6-3,4-0,4-0
Xavier,Big East,47,47,3,77,19-13,8-11,11-2,5-6,15,71,3-11,7-2,6-0,3-0
UNI,MVC,48,48,115,154,23-6,14-5,11-1,8-4,117,121,1-1,3-2,10-3,9-0
Saint Louis,Atlantic 10,49,49,98,140,22-8,12-6,11-2,7-4,85,128,2-5,2-2,10-1,8-0
Mississippi St.,SEC,50,50,58,103,20-11,11-7,9-4,4-7,67,101,2-7,6-2,7-2,5-0
Cincinnati,American,51,51,63,106,20-10,13-5,7-5,5-6,21,32,2-6,7-0,9-4,2-0
Notre Dame,ACC,52,52,81,122,20-12,11-10,9-2,4-7,116,292,2-7,2-4,9-1,7-0
NC State,ACC,53,53,70,110,20-12,11-10,9-2,5-7,68,90,4-5,4-5,6-2,6-0
Arizona St.,Pac-12,54,54,31,91,20-11,11-7,9-4,6-5,12,53,5-8,4-3,6-0,5-0
Alabama,SEC,55,55,30,90,16-15,8-10,8-5,4-8,32,49,2-7,6-5,5-3,3-0
Indiana,Big Ten,56,56,27,89,20-12,10-11,10-1,2-8,64,66,4-10,5-2,4-0,7-0
Rhode Island,Atlantic 10,57,57,84,126,21-9,13-5,8-4,8-5,53,40,1-6,7-2,6-1,7-0
Washington,Pac-12,58,58,46,97,15-17,5-14,10-3,3-7,17,24,3-8,2-6,5-3,5-0
Memphis,American,59,59,83,125,21-10,10-8,11-2,5-6,55,122,2-5,6-2,6-3,7-0
UConn,American,60,60,82,123,19-12,10-8,9-4,3-7,80,171,2-5,3-5,7-1,7-1
Syracuse,ACC,61,61,60,105,18-14,11-10,7-4,6-5,79,170,3-5,4-7,5-2,6-0
St. John's (NY),Big East,62,62,49,98,17-15,6-13,11-2,1-8,46,202,4-11,3-3,2-1,8-0
Tennessee,SEC,63,63,39,94,17-14,9-9,8-5,4-7,6,16,3-11,5-2,5-1,4-0
Oklahoma St.,Big 12,64,64,12,82,18-14,8-11,10-3,5-7,45,105,3-9,7-5,5-0,3-0
Georgetown,Big East,65,65,8,81,15-17,5-14,10-3,4-8,10,80,4-12,4-4,2-1,5-0
South Carolina,SEC,66,66,71,111,18-13,10-8,8-5,6-6,74,103,3-9,6-1,4-2,5-1
Liberty,ASUN,67,67,340,254,28-4,16-3,14-1,7-4,325,230,0-1,1-0,3-1,24-2
VCU,Atlantic 10,68,68,87,129,18-13,8-10,10-3,4-7,56,156,1-8,2-3,7-1,8-1
Yale,Ivy League,69,69,179,186,21-7,11-3,12-4,11-6,203,187,0-2,2-3,7-2,12-0
Texas,Big 12,70,70,31,91,19-12,9-9,10-3,6-5,43,125,5-8,2-4,6-0,6-0
Oregon St.,Pac-12,71,71,76,116,18-13,8-11,10-2,3-8,105,327,4-6,2-5,3-2,9-0
Georgia Tech,ACC,72,72,27,89,16-14,11-9,6-5,6-7,30,81,2-7,5-6,6-1,3-0
Akron,MAC,73,73,140,169,22-7,14-4,10-3,8-4,92,29,0-2,0-2,14-3,8-0
Furman,SoCon,74,74,164,181,22-7,15-4,10-3,10-5,153,159,0-3,2-1,10-3,10-0
Davidson,Atlantic 10,75,75,94,136,16-14,10-8,6-6,4-9,109,202,0-6,6-2,2-6,8-0
UCLA,Pac-12,76,76,54,99,18-12,12-6,7-6,5-5,51,196,6-6,3-4,4-1,5-1
SFA,Southland,77,77,340,254,25-3,19-1,9-2,12-2,308,167,1-2,0-0,3-0,21-1
Tulsa,American,78,78,96,138,21-10,13-5,8-5,6-7,144,332,2-4,4-4,8-1,7-1
Vermont,America East,79,79,244,216,25-7,16-2,10-5,12-3,197,77,1-3,1-0,7-2,16-2
North Carolina,ACC,80,80,8,81,14-19,7-15,7-4,3-9,13,17,3-9,6-6,2-4,3-0
Clemson,ACC,81,81,49,98,16-15,10-11,6-4,3-8,63,208,3-7,5-6,4-2,4-0
UNC Greensboro,SoCon,82,82,164,181,21-9,13-6,10-3,9-4,124,75,2-2,1-3,7-3,11-1
San Francisco,WCC,83,83,99,141,21-12,11-8,11-4,7-6,59,172,1-6,2-2,9-3,9-1
Missouri,SEC,84,84,60,105,15-16,7-11,8-5,2-10,93,193,3-10,3-4,5-1,4-1
Utah,Pac-12,85,85,41,95,16-15,7-12,9-3,1-10,44,158,3-9,6-2,3-4,4-0
DePaul,Big East,86,86,31,91,15-16,4-15,12-1,4-9,73,301,6-12,1-3,1-1,7-0
Louisiana Tech,CUSA,87,87,203,196,20-8,13-5,9-3,7-7,198,260,1-2,1-2,2-4,16-0
SMU,American,88,88,103,144,19-11,9-9,10-2,4-9,136,297,2-2,3-7,5-2,9-0
Nevada,Mountain West,89,89,103,144,19-12,12-7,7-5,4-7,119,68,0-6,1-3,10-1,8-2
Boise St.,Mountain West,90,90,101,143,19-12,12-8,8-4,5-8,96,135,1-5,3-4,6-3,9-0
Georgia,SEC,91,91,34,92,15-16,6-13,10-3,2-9,19,35,2-11,4-4,5-1,4-0
Virginia Tech,ACC,92,92,77,118,16-16,7-14,9-2,3-7,102,279,2-9,3-4,4-3,7-0
TCU,Big 12,93,93,27,89,15-16,7-12,9-4,1-9,52,149,3-9,2-7,4-0,6-0
Duquesne,Atlantic 10,94,94,130,159,21-9,11-7,10-2,6-3,112,271,2-3,3-2,5-2,11-2
North Texas,CUSA,95,95,126,158,18-11,14-4,6-7,7-6,101,33,0-4,2-3,5-3,11-1
Iowa St.,Big 12,96,96,21,87,12-20,5-14,7-6,0-11,35,136,1-15,4-4,2-0,5-1
Ole Miss,SEC,97,97,68,109,15-17,6-13,9-4,1-10,90,249,2-11,3-6,2-0,8-0
Loyola Chicago,MVC,98,98,123,157,20-11,13-6,8-5,5-6,166,305,0-2,3-3,9-5,8-1
Kansas St.,Big 12,99,99,25,88,11-21,4-15,7-6,1-10,28,88,1-13,3-5,3-3,4-0
Northern Colo.,Big Sky,100,100,226,205,20-9,15-5,7-4,9-5,211,206,0-3,0-1,8-2,12-3
Belmont,OVC,101,101,323,244,25-7,17-3,9-4,11-5,292,324,0-1,1-3,3-2,21-1
Bradley,MVC,102,102,133,161,22-11,14-7,9-4,4-8,160,306,0-2,2-3,11-6,9-0
Miami (FL),ACC,103,103,36,93,15-16,7-14,8-2,4-8,38,173,1-10,4-6,6-0,4-0
New Mexico St.,WAC,104,104,255,221,23-6,16-0,9-6,9-4,298,221,1-1,0-1,4-4,18-0
Indiana St.,MVC,105,105,106,145,17-12,11-8,7-4,4-8,88,28,0-3,3-3,6-6,8-0
Colorado St.,Mountain West,106,106,110,150,19-12,11-8,9-4,5-6,122,65,0-5,2-4,8-1,9-2
Harvard,Ivy League,107,107,174,184,20-8,10-4,11-4,9-4,214,201,1-2,2-1,8-4,9-1
UNLV,Mountain West,108,108,92,134,17-15,12-7,5-8,5-7,70,70,1-4,1-4,5-7,10-0
Pittsburgh,ACC,109,109,60,105,16-17,7-15,9-2,2-9,89,261,2-9,3-5,6-2,5-1
Pacific,WCC,110,110,161,179,21-10,11-6,12-4,7-5,180,308,0-3,4-2,4-5,13-0
Wake Forest,ACC,111,111,56,101,13-18,6-15,7-3,2-11,75,179,2-8,3-6,4-4,4-0
Ball St.,MAC,112,112,172,183,17-13,11-7,7-6,5-7,230,340,1-1,1-1,7-9,8-2
Texas A&M,SEC,113,113,67,108,16-14,10-8,6-6,5-4,81,176,3-7,4-4,4-2,5-1
UC Irvine,Big West,114,114,222,204,19-11,13-3,8-8,8-8,236,154,0-1,1-3,7-3,11-4
Washington St.,Pac-12,115,115,85,127,16-16,7-12,9-4,2-9,120,333,3-6,3-4,3-5,7-1
Temple,American,116,116,72,112,14-17,6-12,8-5,4-8,49,79,1-7,4-3,4-6,5-1
Kent St.,MAC,117,117,152,175,18-12,10-9,10-3,5-8,108,143,0-3,2-0,7-8,9-1
Hofstra,CAA,118,118,229,209,25-8,17-4,9-4,11-4,243,328,0-0,2-1,9-4,14-3
Missouri St.,MVC,119,119,113,152,16-17,10-10,6-7,3-10,131,254,0-4,1-3,6-10,9-0
Texas St.,Sun Belt,120,120,156,177,19-11,14-7,7-4,6-8,138,61,0-2,2-1,6-6,11-2
Colgate,Patriot,121,121,271,226,24-9,16-5,9-4,9-7,259,276,1-2,0-1,5-3,18-3
St. Bonaventure,Atlantic 10,122,122,120,156,18-12,11-7,8-5,7-7,115,150,1-3,2-2,6-6,9-1
Western Ky.,CUSA,123,123,140,169,19-10,13-5,7-5,6-6,103,43,0-2,1-2,8-5,10-1
UCF,American,124,124,89,130,16-14,7-11,9-3,4-7,84,174,1-4,0-6,9-3,6-1
South Fla.,American,125,125,79,121,14-17,7-11,7-6,3-6,69,188,1-6,4-5,4-5,5-1
South Dakota St.,Summit League,126,126,277,228,20-10,13-4,9-6,6-9,329,338,0-3,0-2,3-4,17-1
Wright St.,Horizon,127,127,296,233,23-7,15-4,10-3,9-3,311,307,0-0,0-0,6-6,17-1
Northeastern,CAA,128,128,212,201,17-16,11-10,6-6,7-7,215,312,0-0,0-3,7-8,10-5
UT Arlington,Sun Belt,129,129,115,154,12-18,10-11,4-7,6-9,87,3,0-3,1-3,5-7,6-5
North Dakota St.,Summit League,130,130,255,221,23-8,16-3,9-5,8-6,307,293,0-1,1-3,6-2,16-2
Pepperdine,WCC,131,131,103,144,16-16,9-9,7-7,6-7,97,209,0-8,0-3,8-3,8-2
Massachusetts,Atlantic 10,132,132,86,128,14-17,8-10,6-7,3-9,36,92,0-9,2-5,3-2,9-1
Murray St.,OVC,133,133,313,240,21-9,16-4,7-5,6-6,306,345,0-1,0-2,2-4,19-2
Georgia St.,Sun Belt,134,134,145,172,17-13,12-9,7-4,6-10,152,39,0-2,0-3,8-6,9-2
Eastern Wash.,Big Sky,135,135,201,195,21-8,16-4,7-4,10-6,172,69,0-3,1-0,8-3,12-2
Western Caro.,SoCon,136,136,168,182,17-12,11-9,8-3,8-7,130,192,0-5,0-4,5-2,12-1
Toledo,MAC,137,137,163,180,16-15,9-10,8-5,7-9,156,217,1-1,0-3,5-8,10-3
Valparaiso,MVC,138,138,114,153,18-16,12-10,7-6,4-11,125,220,0-3,1-7,7-6,10-0
California,Pac-12,139,139,12,82,14-18,8-11,6-7,1-10,8,27,2-9,4-6,4-3,4-0
Little Rock,Sun Belt,140,140,177,185,20-10,15-5,6-5,8-8,189,131,0-2,1-5,8-1,11-2
Montana,Big Sky,141,141,198,193,17-12,14-6,4-7,6-10,175,120,0-4,1-1,4-5,12-2
Vanderbilt,SEC,142,142,64,107,11-21,3-16,8-5,1-9,61,140,2-11,2-5,1-5,6-0
New Mexico,Mountain West,143,143,131,160,18-14,8-12,11-2,2-9,127,60,1-4,2-4,3-5,12-1
Oral Roberts,Summit League,144,144,190,190,13-14,10-8,7-6,3-12,185,113,0-5,0-3,2-4,11-2
Santa Clara,WCC,145,145,148,174,18-13,7-11,13-2,3-7,261,352,1-4,0-5,4-3,13-1
Buffalo,MAC,146,146,133,161,19-12,11-8,9-4,7-4,118,157,1-0,2-3,10-5,6-4
Ga. Southern,Sun Belt,147,147,168,182,18-13,14-8,6-5,8-8,170,96,0-1,3-3,4-5,11-4
Winthrop,Big South,148,148,313,240,22-10,18-3,6-7,10-6,274,139,1-3,0-1,1-2,20-4
Penn,Ivy League,149,149,158,178,15-11,8-6,8-5,6-7,228,239,2-3,1-1,4-4,8-3
Northern Ky.,Horizon,150,150,262,223,21-9,15-5,8-4,10-5,280,225,0-1,1-3,6-1,14-4
Siena,MAAC,151,151,277,228,20-10,16-5,4-5,5-10,217,163,0-2,0-2,3-2,17-4
Col. of Charleston,CAA,152,152,158,178,16-14,11-8,6-6,6-6,135,132,1-1,0-5,7-5,8-3
Chattanooga,SoCon,153,153,183,188,18-13,11-9,9-4,7-8,168,273,0-4,1-4,4-3,13-2
Towson,CAA,154,154,164,181,17-13,12-7,7-6,8-4,139,100,0-2,2-2,3-8,12-1
Wofford,SoCon,155,155,156,177,17-16,11-11,8-5,6-10,167,294,0-5,3-4,2-5,12-2
Drake,MVC,156,156,126,158,18-14,10-11,10-3,2-10,143,291,1-3,0-5,9-4,8-2
Boston College,ACC,157,157,45,96,13-19,7-14,6-5,4-8,57,204,1-7,5-8,4-3,3-1
Ohio,MAC,158,158,140,169,15-15,9-10,8-5,4-8,140,247,0-3,1-5,5-6,9-1
Bowling Green,MAC,159,159,135,163,19-10,12-6,9-4,5-5,104,142,0-2,3-2,8-4,8-2
Boston U.,Patriot,160,160,244,216,20-13,15-6,6-7,9-8,193,186,1-1,1-3,2-5,16-4
Fresno St.,Mountain West,161,161,118,155,10-19,7-12,4-7,4-10,148,238,0-5,0-4,3-8,7-2
Southern Ill.,MVC,162,162,131,160,15-16,10-9,6-7,3-10,121,235,0-2,1-6,6-6,8-2
Austin Peay,OVC,163,163,258,222,19-12,15-5,6-7,5-10,226,191,0-2,0-6,2-2,17-2
Northwestern,Big Ten,164,164,21,87,8-23,3-18,5-5,2-10,71,153,0-14,2-5,3-1,3-3
William & Mary,CAA,165,165,216,203,20-11,13-6,8-5,10-7,231,267,0-2,2-0,6-7,12-2
Princeton,Ivy League,166,166,179,186,13-13,9-5,5-8,6-7,141,111,0-2,0-5,6-2,7-4
George Mason,Atlantic 10,167,167,120,156,17-15,6-13,11-2,3-8,137,246,1-4,0-8,5-2,11-1
Tulane,American,168,168,99,141,12-18,4-14,8-4,3-7,107,251,0-6,4-5,1-6,7-1
South Alabama,Sun Belt,169,169,168,182,17-11,13-7,7-4,7-5,200,184,0-2,1-1,8-5,8-3
FIU,CUSA,170,170,192,191,16-13,10-9,9-4,6-9,234,339,0-3,0-3,4-4,12-3
La Salle,Atlantic 10,171,171,112,151,15-15,6-12,9-3,4-8,106,138,0-6,0-5,7-3,8-1
Marshall,CUSA,172,172,148,174,16-15,11-8,6-7,5-9,145,82,0-3,1-2,5-9,10-1
Old Dominion,CUSA,173,173,147,173,13-19,9-10,4-9,3-11,169,166,0-3,1-5,1-8,11-3
NIU,MAC,174,174,174,184,17-13,11-7,7-6,7-9,256,335,0-1,1-5,6-6,10-1
North Florida,ASUN,175,175,244,216,19-12,14-4,7-8,7-9,232,63,0-7,1-0,1-1,17-4
Charlotte,CUSA,176,176,182,187,16-13,10-8,6-5,3-11,251,341,0-0,2-5,4-4,10-4
UC Santa Barbara,Big West,177,177,262,223,19-10,10-6,11-4,8-7,302,255,0-1,1-2,3-4,15-3
Saint Francis,NEC,178,178,300,234,21-10,15-6,7-4,8-8,237,83,0-3,0-0,4-2,17-5
Portland St.,Big Sky,179,179,216,203,16-14,12-8,6-6,6-11,239,288,0-2,1-2,4-7,11-3
Delaware,CAA,180,180,226,205,21-11,12-8,10-3,7-6,219,310,0-1,2-0,6-8,13-2
App State,Sun Belt,181,181,143,171,16-15,12-10,6-5,7-9,151,185,0-3,0-5,7-3,9-4
South Dakota,Summit League,182,182,251,219,17-12,10-7,10-5,5-8,260,181,0-2,0-3,6-3,11-4
Radford,Big South,183,183,277,228,19-11,16-4,5-7,9-6,195,10,1-2,0-2,3-4,15-3
Southern Utah,Big Sky,184,184,212,201,15-15,10-11,7-4,6-10,242,205,0-2,0-3,3-7,12-3
Rider,MAAC,185,185,277,228,18-12,12-8,6-4,5-11,270,280,0-2,1-2,1-4,16-4
Sacramento St.,Big Sky,186,186,222,204,14-14,9-12,7-2,4-10,272,289,0-1,1-2,0-9,13-2
Mercer,SoCon,187,187,196,192,15-15,11-8,6-7,8-6,247,346,1-2,0-4,5-6,9-3
Coastal Carolina,Sun Belt,188,188,148,174,14-17,9-13,7-4,7-7,150,112,0-1,2-3,7-8,5-5
Stony Brook,America East,189,189,243,215,19-13,11-7,9-6,8-8,146,30,0-3,1-2,2-4,16-4
Sacred Heart,NEC,190,190,327,246,19-13,13-7,7-6,10-8,296,296,0-2,0-1,0-4,19-6
Eastern Mich.,MAC,191,191,115,154,12-16,6-13,10-3,3-12,113,106,0-2,1-5,6-8,5-1
Nicholls,Southland,192,192,315,242,17-10,15-5,6-5,7-8,313,20,0-4,1-1,1-1,15-4
Fla. Atlantic,CUSA,193,193,192,191,14-15,9-10,8-5,2-12,295,337,0-1,0-4,4-6,10-4
Abilene Christian,Southland,194,194,327,246,16-11,15-5,5-6,7-8,314,177,0-1,0-4,0-4,16-2
UTEP,CUSA,195,195,172,183,14-15,8-11,9-4,3-9,173,11,0-1,0-3,6-9,8-2
Illinois St.,MVC,196,196,106,145,9-21,5-14,5-7,1-11,83,58,0-1,1-6,4-12,4-2
American,Patriot,197,197,271,226,16-14,12-7,4-7,6-10,253,258,0-1,0-1,2-7,14-5
Central Mich.,MAC,198,198,136,165,11-18,7-12,7-6,2-14,178,284,0-3,0-4,4-10,7-1
Nebraska,Big Ten,199,199,18,86,7-25,2-19,5-6,0-12,60,137,0-16,2-3,3-2,2-4
California Baptist,WAC,200,200,306,236,17-10,10-6,11-4,6-5,317,252,0-1,1-1,1-3,15-5
Prairie View,SWAC,201,201,331,247,17-13,15-4,4-9,6-12,345,151,0-4,0-2,1-3,16-4
Arkansas St.,Sun Belt,202,202,164,181,14-16,8-13,8-3,6-9,233,195,0-0,2-4,3-9,9-3
Robert Morris,NEC,203,203,306,236,19-14,16-5,4-9,7-11,300,309,0-2,0-1,2-6,17-5
UTSA,CUSA,204,204,152,175,10-19,7-12,6-7,3-9,154,104,0-2,1-2,3-9,6-6
UAB,CUSA,205,205,208,198,17-13,10-9,9-4,5-7,286,270,0-2,1-1,4-7,12-3
Miami (OH),MAC,206,206,136,165,11-19,6-13,7-6,2-11,91,114,0-2,0-3,5-12,6-2
LMU (CA),WCC,207,207,96,138,10-21,5-13,6-8,2-9,77,148,0-6,0-7,1-6,9-2
East Carolina,American,208,208,123,157,11-20,5-13,6-7,1-11,147,331,0-4,0-8,4-3,7-5
Monmouth,MAAC,209,209,271,226,18-13,12-8,6-5,6-10,238,219,0-1,0-3,2-4,16-5
UC Riverside,Big West,210,210,288,230,14-15,7-9,10-6,6-10,347,348,0-0,0-3,4-6,10-6
Dartmouth,Ivy League,211,211,212,201,11-17,5-9,7-8,5-10,216,250,0-1,0-4,2-8,9-4
Gardner-Webb,Big South,212,212,277,228,14-16,12-8,4-8,6-10,255,190,0-2,1-3,2-4,11-7
Saint Peter's,MAAC,213,213,296,233,18-12,15-6,3-6,6-9,266,303,0-3,0-0,3-2,15-7
Rice,CUSA,214,214,190,190,13-17,7-12,8-5,5-8,206,124,0-2,0-4,4-3,9-8
Hawaii,Big West,215,215,216,203,16-13,8-8,9-5,3-7,271,182,0-2,0-3,4-3,12-5
Merrimack,NEC,216,216,311,239,19-11,14-4,6-7,9-8,294,216,0-2,0-0,4-3,15-6
UIC,Horizon,217,217,232,211,17-17,13-9,5-8,5-9,224,218,0-1,0-3,6-6,11-7
UC Davis,Big West,218,218,232,211,12-18,8-8,6-10,5-12,316,323,0-0,0-4,2-9,10-5
George Washington,Atlantic 10,219,219,126,158,12-20,6-13,6-7,3-9,110,199,0-5,3-4,2-4,7-7
Air Force,Mountain West,220,220,118,155,11-20,6-14,6-6,3-9,162,272,0-3,1-6,4-6,6-5
Green Bay,Horizon,221,221,216,203,15-16,12-8,5-8,7-10,199,127,0-3,0-2,4-7,11-4
Oakland,Horizon,222,222,229,209,13-19,9-11,5-8,4-12,210,87,0-3,0-1,3-10,10-5
Lafayette,Patriot,223,223,266,225,18-12,11-9,8-3,10-7,273,315,0-1,1-1,7-2,10-8
Iona,MAAC,224,224,271,226,12-17,10-12,2-5,4-9,250,282,0-2,0-0,1-7,11-8
Brown,Ivy League,225,225,183,188,14-12,8-6,7-6,5-8,163,126,0-3,2-1,3-4,9-4
Seattle U,WAC,226,226,248,218,12-15,7-7,7-8,3-10,305,317,0-3,0-3,0-3,12-6
Northern Ariz.,Big Sky,227,227,210,199,14-14,10-11,6-3,6-8,257,211,0-1,1-2,3-6,10-5
Sam Houston,Southland,228,228,315,242,14-13,11-9,7-4,6-10,301,189,0-1,0-2,2-4,12-6
Montana St.,Big Sky,229,229,205,197,14-15,10-10,6-5,5-10,171,85,0-1,1-3,3-7,10-4
Louisiana,Sun Belt,230,230,168,182,13-19,9-13,5-6,3-12,207,256,0-1,1-4,2-10,10-4
San Diego,WCC,231,231,92,134,8-23,2-15,7-8,3-10,95,200,0-9,0-3,1-8,7-3
Youngstown St.,Horizon,232,232,266,225,16-15,11-9,7-6,5-11,284,227,0-3,0-1,2-8,14-3
CSUN,Big West,233,233,186,189,13-17,10-6,5-11,5-12,158,47,0-3,1-2,2-9,10-3
Omaha,Summit League,234,234,179,186,15-16,9-8,7-8,4-13,133,15,0-4,1-4,3-6,11-2
Western Mich.,MAC,235,235,136,165,11-19,6-13,7-6,3-12,159,269,0-3,0-4,4-9,7-3
UMBC,America East,236,236,241,214,12-17,9-9,7-8,5-10,187,197,0-2,1-1,0-8,11-6
Drexel,CAA,237,237,186,189,13-19,7-13,7-6,1-13,155,134,0-1,0-5,0-10,13-3
New Hampshire,America East,238,238,296,233,13-15,8-9,7-6,5-12,322,342,0-2,0-1,0-6,13-6
Bucknell,Patriot,239,239,222,204,14-20,10-11,4-9,4-14,161,46,0-2,0-2,4-8,10-8
Saint Joseph's,Atlantic 10,240,240,74,114,6-26,2-17,4-9,2-12,25,18,1-7,1-7,2-9,2-3
Eastern Ill.,OVC,241,241,344,256,15-15,10-10,7-5,5-11,348,349,0-2,0-2,1-2,14-9
Bryant,NEC,242,242,321,243,14-17,7-12,8-5,6-12,310,298,0-2,0-0,2-7,12-8
Navy,Patriot,243,243,258,222,13-16,8-11,6-5,4-11,235,240,0-2,0-1,3-6,10-7
Fordham,Atlantic 10,244,244,154,176,9-22,3-16,6-6,1-8,177,334,0-4,0-6,1-6,8-6
Quinnipiac,MAAC,245,245,311,239,15-15,10-10,5-5,5-9,275,299,0-0,0-1,2-6,13-8
Hartford,America East,246,246,291,231,16-15,11-7,7-8,9-7,285,316,0-0,0-3,3-6,13-6
Norfolk St.,MEAC,247,247,352,262,13-14,12-4,4-11,4-12,344,213,0-0,0-3,1-4,12-7
Loyola Maryland,Patriot,248,248,306,236,14-17,7-12,8-5,5-13,338,351,0-2,0-1,2-7,12-7
North Dakota,Summit League,249,249,200,194,12-18,9-10,6-8,4-13,194,160,0-3,0-3,5-7,7-5
Utah Valley,WAC,250,250,283,229,8-19,5-10,6-9,5-12,276,283,0-1,1-2,1-4,6-12
Jacksonville,ASUN,251,251,288,230,12-18,7-10,7-8,7-9,288,212,0-3,0-2,0-4,12-9
