Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,SOS,NonConfSOS,Q1,Q2,Q3,Q4
Gonzaga,WCC,1,1,108,146,31-2,17-1,14-1,10-1,111,286,6-2,5-0,10-0,10-0
Kansas,Big 12,2,2,1,67,27-3,17-1,11-2,10-1,1,1,12-3,8-0,4-0,3-0
Dayton,Atlantic 10,3,3,89,130,29-2,18-0,11-2,9-0,27,48,5-2,8-0,9-0,7-0
San Diego St.,Mountain West,4,4,110,150,29-2,19-2,11-0,11-0,98,145,4-1,7-0,8-1,10-0
Baylor,Big 12,5,5,46,97,26-4,15-3,11-1,9-2,58,169,11-2,5-2,6-0,4-0
Duke,ACC,6,6,46,97,25-6,15-5,10-1,7-4,31,7,5-3,6-2,12-1,2-0
Michigan St.,Big Ten,7,7,18,86,22-9,14-6,8-3,7-4,37,93,9-7,5-2,2-0,6-0
Louisville,ACC,8,8,56,101,24-7,15-5,9-2,6-5,18,25,4-6,6-1,9-0,5-0
BYU,WCC,9,9,77,118,23-8,13-4,11-4,6-5,24,9,3-5,5-3,8-0,7-0
Florida St.,ACC,10,10,49,98,26-5,16-4,10-1,7-5,41,118,6-3,8-2,8-0,4-0
Creighton,Big East,11,11,8,81,23-7,13-5,11-2,6-5,23,155,9-7,6-0,3-0,5-0
Oregon,Pac-12,12,12,21,87,24-7,13-5,11-2,5-5,16,26,7-5,6-2,7-0,4-0
Villanova,Big East,13,13,5,79,24-7,13-5,11-2,9-3,3,36,10-6,6-1,5-0,3-0
Arizona,Pac-12,14,14,36,93,21-11,11-8,10-3,4-6,11,21,3-7,6-3,8-1,4-0
Seton Hall,Big East,15,15,4,78,21-9,13-5,8-4,8-4,4,78,10-7,5-2,1-0,5-0
Ohio St.,Big Ten,16,16,36,93,21-10,11-9,10-1,4-7,47,91,6-9,6-1,3-0,6-0
West Virginia,Big 12,17,17,2,75,21-10,9-9,12-1,4-8,2,4,6-7,6-3,7-0,2-0
Maryland,Big Ten,18,18,18,86,24-7,14-6,10-1,5-6,42,116,8-7,6-0,3-0,7-0
Butler,Big East,19,19,21,87,22-9,10-8,12-1,5-6,54,228,10-6,5-3,2-0,5-0
Houston,American,20,20,73,113,23-8,13-5,10-3,6-6,65,214,2-5,8-3,8-0,5-0
Kentucky,SEC,21,21,64,107,25-6,15-3,10-3,8-2,82,162,9-3,5-2,5-0,6-1
